mt
1156
10000 3
 -25.2379 -65 -65
 -25.2838 -65 -65
 -25.3296 -65 -65
 -25.3755 -65 -65
 -25.4213 -65 -65
 -25.4671 -65 -65
 -25.5457 -65 -65
 -25.6809 -65 -65
 -25.8161 -65 -65
 -25.9512 -65 -65
 -26.0862 -65 -65
 -26.2211 -65 -65
 -26.356 -65 -65
 -26.6014 -65 -65
 -26.8466 -65 -65
 -27.2566 -65 -65
 -27.6659 -65 -65
 -28.0744 -65 -65
 -28.482 -65 -65
 -28.8888 -65 -65
 -29.5961 -65 -65
 -30.3005 -65 -65
 -31.0019 -65 -65
 -32.1259 -65 -65
 -33.2408 -65 -65
 -34.3454 -65 -65
 -36.4095 -65 -65
 -38.417 -65 -65
 -40.2997 -65 -65
 -40.2997 -65 -65
 -40.3006 -65 -65
 -40.5047 -65 -65
 -40.829 -65 -65
 -41.1508 -65 -65
 -41.8064 -65 -65
 -42.452 -65 -65
 -43.0865 -65 -65
 -44.2413 -65 -65
 -45.3549 -65 -65
 -47.2303 -65 -65
 -48.9784 -65 -65
 -50.6047 -65 -65
 -52.1161 -65 -65
 -52.4537 -65 -65
 -52.4537 -65 -65
 -52.4549 -65 -65
 -52.6765 -65 -65
 -53.1036 -65 -65
 -53.5245 -65 -65
 -53.9387 -65 -65
 -54.7721 -65 -65
 -55.575 -65 -65
 -56.6606 -65 -65
 -56.6606 -65 -65
 -56.7959 -65 -65
 -56.9303 -65 -65
 -57.1746 -65 -65
 -57.4159 -65 -65
 -57.8498 -65 -65
 -58.5851 -65 -65
 -59.6479 -65 -65
 -60.6375 -65 -65
 -61.558 -65 -65
 -62.4131 -65 -65
 -63.2066 -65 -65
 -63.9427 -65 -65
 -64.6249 -65 -65
 -65.257 -65 -65
 -65.8422 -65 -65
 -66.1045 -65 -65
 -66.1045 -65 -65
 -66.1729 -65 -65
 -66.2406 -65 -65
 -66.362 -65 -65
 -66.4816 -65 -65
 -66.6626 -65 -65
 -66.9358 -65 -65
 -67.1973 -65 -65
 -67.4477 -65.0001 -65
 -67.6875 -65.0002 -65
 -68.0668 -65.0007 -65
 -68.4197 -65.0018 -65
 -68.7484 -65.0035 -65
 -69.2463 -65.0086 -65
 -69.6902 -65.017 -65
 -69.8692 -65.0217 -65
 -69.8692 -65.0217 -65
 -69.9098 -65.0229 -65
 -69.9499 -65.0242 -65
 -70.0219 -65.0267 -65
 -70.0926 -65.0292 -65
 -70.2034 -65.0335 -65
 -70.3687 -65.0409 -65
 -70.5253 -65.0491 -65
 -70.6738 -65.0581 -65
 -70.8145 -65.0677 -65
 -71.0268 -65.0849 -65
 -71.2207 -65.1039 -65
 -71.3978 -65.1244 -65
 -71.6682 -65.1636 -65
 -71.8973 -65.2064 -65
 -72.0905 -65.2524 -65
 -72.2523 -65.3007 -65
 -72.3867 -65.3509 -65
 -72.4971 -65.4024 -65
 -72.5864 -65.4548 -65
 -72.6974 -65.5456 -65
 -72.7653 -65.6366 -65
 -72.7987 -65.7269 -65
 -72.8045 -65.8158 -65
 -72.7663 -65.9611 -65
 -72.6841 -66.0997 -65
 -72.5723 -66.2314 -65
 -72.4397 -66.356 -65
 -72.2923 -66.4737 -65
 -72.1353 -66.5846 -65
 -71.9729 -66.6893 -65
 -71.8082 -66.788 -65
 -71.643 -66.8811 -65
 -71.3896 -67.0152 -65
 -71.142 -67.138 -65
 -70.903 -67.2505 -65
 -70.6745 -67.3539 -65
 -70.4572 -67.4489 -65
 -70.2514 -67.5364 -65
 -69.9501 -67.6605 -65
 -69.6749 -67.77 -65
 -69.4238 -67.867 -65
 -69.0791 -67.9957 -65
 -68.7784 -68.1035 -65
 -68.5143 -68.1939 -65
 -68.2802 -68.2701 -65
 -68.0707 -68.3344 -65
 -67.8812 -68.3888 -65
 -67.7075 -68.4346 -65
 -67.5458 -68.4733 -65
 -67.3937 -68.5059 -65
 -67.2492 -68.5331 -65
 -67.1099 -68.5557 -65
 -67.0756 -68.5607 -65
 -67.0413 -68.5655 -65
 -67.0071 -68.57 -65
 -66.9726 -68.5743 -65
 -66.9378 -68.5784 -65
 -66.9026 -68.5823 -65
 -66.8669 -68.586 -65
 -66.8309 -68.5895 -65
 -66.7943 -68.5927 -65
 -66.757 -68.5959 -65
 -66.7189 -68.5988 -65
 -66.6591 -68.6029 -65
 -66.5968 -68.6066 -65
 -66.5314 -68.61 -65
 -66.4619 -68.6131 -65
 -66.3863 -68.6158 -65
 -66.3012 -68.6182 -65
 -66.2446 -68.6194 -65
 -66.1813 -68.6206 -65
 -66.1642 -68.6209 -65
 -66.1464 -68.6212 -65
 -66.1131 -68.6216 -65
 -66.0772 -68.6221 -65
 -66.0378 -68.6225 -65
 -66.0274 -68.6226 -65
 -66.0167 -68.6227 -65
 -65.9924 -68.623 -65
 -65.9765 -68.6231 -65
 -65.9599 -68.6232 -65
 -65.9425 -68.6234 -65
 -65.931 -68.6234 -65
 -65.919 -68.6235 -65
 -65.9066 -68.6236 -65
 -65.8938 -68.6237 -65
 -65.8856 -68.6237 -65
 -65.8772 -68.6238 -65
 -65.8686 -68.6238 -65
 -65.8597 -68.6239 -65
 -65.8506 -68.6239 -65
 -65.8411 -68.624 -65
 -65.8313 -68.624 -65
 -65.8212 -68.6241 -65
 -65.8107 -68.6241 -65
 -65.7998 -68.6241 -65
 -65.7883 -68.6242 -65
 -65.7764 -68.6242 -65
 -65.7638 -68.6243 -65
 -65.7505 -68.6243 -65
 -65.7364 -68.6244 -65
 -65.7214 -68.6244 -65
 -65.7054 -68.6245 -65
 -65.6882 -68.6245 -65
 -65.6695 -68.6245 -65
 -65.6493 -68.6246 -65
 -65.6272 -68.6246 -65
 -65.6029 -68.6247 -65
 -65.5761 -68.6247 -65
 -65.5465 -68.6248 -65
 -65.5136 -68.6248 -65
 -65.4769 -68.6248 -65
 -65.436 -68.6249 -65
 -65.3902 -68.6249 -65
 -65.339 -68.625 -65
 -65.2817 -68.625 -65
 -65.2175 -68.625 -65
 -65.1457 -68.6251 -65
 -65.0653 -68.6251 -65
 -64.9754 -68.6252 -65
 -64.8751 -68.6252 -65
 -64.7634 -68.6252 -65
 -64.639 -68.6253 -65
 -64.5008 -68.6253 -65
 -64.3473 -68.6253 -65
 -64.1772 -68.6254 -65
 -63.9887 -68.6254 -65
 -63.7804 -68.6255 -65
 -63.5509 -68.6255 -65
 -63.2984 -68.6255 -65
 -63.0215 -68.6256 -65
 -62.718 -68.6256 -65
 -62.5363 -68.6256 -65
 -62.3451 -68.6256 -65
 -62.1438 -68.6257 -65
 -61.9321 -68.6257 -65
 -61.7093 -68.6257 -65
 -61.4752 -68.6257 -65
 -61.2294 -68.6257 -65
 -60.9719 -68.6258 -65
 -60.7026 -68.6258 -65
 -60.4214 -68.6258 -65
 -60.1284 -68.6258 -65
 -59.6333 -68.6258 -65
 -59.1064 -68.6259 -65
 -58.5458 -68.6259 -65
 -57.9478 -68.6259 -65
 -57.3079 -68.626 -65
 -56.6214 -68.626 -65
 -55.8849 -68.626 -65
 -55.098 -68.626 -65
 -54.2636 -68.6261 -65
 -53.3884 -68.6261 -65
 -52.4812 -68.6261 -65
 -51.5515 -68.6262 -65
 -50.6075 -68.6262 -65
 -49.655 -68.6262 -65
 -48.6969 -68.6262 -65
 -47.733 -68.6263 -65
 -46.2542 -68.6263 -65
 -44.7259 -68.6263 -65
 -43.1019 -68.6264 -65
 -41.303 -68.6264 -65
 -40.813 -68.6264 -65
 -40.301 -68.6264 -65
 -39.4102 -68.6264 -65
 -38.4268 -68.6265 -65
 -37.3139 -68.6265 -65
 -36.0113 -68.6265 -65
 -35.231 -68.6265 -65
 -34.3577 -68.6265 -65
 -33.3759 -68.6265 -65
 -32.2779 -68.6265 -65
 -31.5649 -68.6265 -65
 -30.8151 -68.6265 -65
 -30.0327 -68.6265 -65
 -29.2217 -68.6265 -65
 -28.3856 -68.6265 -65
 -27.5276 -68.6266 -65
 -26.6504 -68.6266 -65
 -24.9524 -68.6266 -65
 -23.2149 -68.6266 -65
 -21.4529 -68.6266 -65
 -19.6776 -68.6266 -65
 -17.8951 -68.6266 -65
 -16.1061 -68.6266 -65
 -14.3067 -68.6266 -65
 -12.489 -68.6266 -65
 -9.69707 -68.6266 -65
 -6.79724 -68.6267 -65
 -3.74917 -68.6267 -65
 -0.526859 -68.6267 -65
 2.87514 -68.6267 -65
 6.4274 -68.6267 -65
 10.0648 -68.6267 -65
 13.6934 -68.6267 -65
 17.2072 -68.6267 -65
 20.5075 -68.6267 -65
 23.5195 -68.6268 -65
 26.2004 -68.6268 -65
 28.5384 -68.6268 -65
 30.5459 -68.6268 -65
 32.2508 -68.6268 -65
 33.6879 -68.6268 -65
 34.8937 -68.6268 -65
 35.9025 -68.6268 -65
 36.745 -68.6269 -65
 37.4472 -68.6269 -65
 38.3538 -68.6269 -65
 39.0158 -68.6269 -65
 39.4907 -68.6269 -65
 39.819 -68.6269 -65
 40.0299 -68.627 -65
 40.1459 -68.627 -65
 40.1842 -68.627 -65
 40.158 -68.627 -65
 40.0773 -68.627 -65
 39.9499 -68.627 -65
 39.7821 -68.6271 -65
 39.5789 -68.6271 -65
 39.3443 -68.6271 -65
 39.0817 -68.6271 -65
 38.7939 -68.6271 -65
 38.4832 -68.6271 -65
 38.1515 -68.6272 -65
 37.8005 -68.6272 -65
 37.4317 -68.6272 -65
 37.0463 -68.6272 -65
 36.6455 -68.6272 -65
 36.2301 -68.6272 -65
 35.8012 -68.6272 -65
 35.3594 -68.6273 -65
 34.9055 -68.6273 -65
 34.4401 -68.6273 -65
 33.9638 -68.6273 -65
 33.4771 -68.6273 -65
 32.9806 -68.6273 -65
 32.4747 -68.6273 -65
 31.9598 -68.6274 -65
 31.4365 -68.6274 -65
 30.9049 -68.6274 -65
 30.3656 -68.6274 -65
 29.8189 -68.6274 -65
 29.2651 -68.6274 -65
 28.7045 -68.6274 -65
 28.1375 -68.6275 -65
 27.5643 -68.6275 -65
 26.9852 -68.6275 -65
 26.4006 -68.6275 -65
 25.8105 -68.6275 -65
 25.2154 -68.6275 -65
 24.6155 -68.6275 -65
 24.0109 -68.6275 -65
 23.5883 -68.6275 -65
 23.5883 -68.6275 -65
 23.5865 -68.6275 -65
 23.5847 -68.6275 -65
 23.5816 -68.6275 -65
 23.5786 -68.6275 -65
 23.5711 -68.6275 -65
 23.5635 -68.6275 -65
 23.556 -68.6275 -65
 23.5485 -68.6275 -65
 23.5371 -68.6275 -65
 23.5257 -68.6275 -65
 23.5143 -68.6275 -65
 23.4892 -68.6275 -65
 23.4641 -68.6275 -65
 23.439 -68.6275 -65
 23.3865 -68.6275 -65
 23.3339 -68.6275 -65
 23.2813 -68.6275 -65
 23.2287 -68.6276 -65
 23.1761 -68.6276 -65
 23.0774 -68.6276 -65
 22.9787 -68.6276 -65
 22.8798 -68.6276 -65
 22.7808 -68.6276 -65
 22.6311 -68.6276 -65
 22.4812 -68.6276 -65
 22.3311 -68.6276 -65
 22.053 -68.6276 -65
 21.7742 -68.6276 -65
 21.4946 -68.6276 -65
 21.0269 -68.6276 -65
 20.5573 -68.6276 -65
 20.0859 -68.6276 -65
 19.6127 -68.6276 -65
 19.1379 -68.6276 -65
 18.6615 -68.6276 -65
 18.1836 -68.6276 -65
 17.411 -68.6276 -65
 16.6348 -68.6277 -65
 15.8555 -68.6277 -65
 15.0732 -68.6277 -65
 14.2882 -68.6277 -65
 13.5006 -68.6277 -65
 12.7108 -68.6277 -65
 11.9188 -68.6277 -65
 11.1248 -68.6277 -65
 10.3289 -68.6277 -65
 9.53135 -68.6277 -65
 8.73214 -68.6278 -65
 7.93138 -68.6278 -65
 7.12914 -68.6278 -65
 6.32546 -68.6278 -65
 5.52037 -68.6278 -65
 4.71389 -68.6278 -65
 3.90602 -68.6278 -65
 3.09675 -68.6278 -65
 2.28602 -68.6278 -65
 1.47381 -68.6278 -65
 0.660035 -68.6278 -65
 -0.155374 -68.6278 -65
 -0.972512 -68.6279 -65
 -1.79149 -68.6279 -65
 -2.61245 -68.6279 -65
 -3.43551 -68.6279 -65
 -4.2608 -68.6279 -65
 -5.08807 -68.6279 -65
 -5.91685 -68.6279 -65
 -6.74662 -68.6279 -65
 -7.23493 -68.6279 -65
 -7.72337 -68.6279 -65
 -8.21185 -68.6279 -65
 -8.70031 -68.6279 -65
 -9.18871 -68.6279 -65
 -9.67703 -68.6279 -65
 -10.1652 -68.6279 -65
 -10.4081 -68.6279 -65
 -10.4081 -68.6279 -65
 -10.4102 -68.6279 -65
 -10.4122 -68.6279 -65
 -10.4156 -68.6279 -65
 -10.419 -68.6279 -65
 -10.4275 -68.6279 -65
 -10.436 -68.6279 -65
 -10.4445 -68.6279 -65
 -10.4529 -68.6279 -65
 -10.4657 -68.6279 -65
 -10.4785 -68.6279 -65
 -10.4913 -68.6279 -65
 -10.5196 -68.6279 -65
 -10.5478 -68.6279 -65
 -10.5761 -68.6279 -65
 -10.6359 -68.6279 -65
 -10.6957 -68.6279 -65
 -10.7555 -68.6279 -65
 -10.8153 -68.6279 -65
 -10.8751 -68.6279 -65
 -11.0073 -68.6279 -65
 -11.1396 -68.6279 -65
 -11.2719 -68.6279 -65
 -11.4041 -68.6279 -65
 -11.5363 -68.6279 -65
 -11.7444 -68.6279 -65
 -11.9524 -68.6279 -65
 -12.3359 -68.6279 -65
 -12.7191 -68.6279 -65
 -13.1023 -68.6279 -65
 -13.4853 -68.6279 -65
 -13.8682 -68.6279 -65
 -14.5003 -68.6279 -65
 -15.1322 -68.6279 -65
 -15.764 -68.6279 -65
 -16.3956 -68.6279 -65
 -17.0271 -68.6279 -65
 -17.6588 -68.6279 -65
 -18.2906 -68.6279 -65
 -18.9226 -68.6279 -65
 -19.555 -68.6279 -65
 -20.1877 -68.6279 -65
 -20.4855 -68.6279 -65
 -20.4855 -68.6279 -65
 -20.4862 -68.6279 -65
 -20.5757 -68.6279 -65
 -20.7942 -68.6279 -65
 -21.0128 -68.6279 -65
 -21.2314 -68.6279 -65
 -21.4501 -68.6279 -65
 -21.6688 -68.6279 -65
 -22.1004 -68.6279 -65
 -22.5323 -68.6279 -65
 -22.9645 -68.6279 -65
 -23.3968 -68.6279 -65
 -23.8295 -68.6279 -65
 -24.2623 -68.6279 -65
 -24.6954 -68.6279 -65
 -25.1286 -68.6279 -65
 -25.8959 -68.6279 -65
 -26.6636 -68.6279 -65
 -27.4315 -68.6279 -65
 -28.1993 -68.6279 -65
 -28.9669 -68.6279 -65
 -29.7339 -68.6279 -65
 -30.5001 -68.6279 -65
 -31.2651 -68.6279 -65
 -32.0285 -68.6279 -65
 -32.7898 -68.6279 -65
 -34.0277 -68.6279 -65
 -35.2557 -68.6279 -65
 -36.4701 -68.6279 -65
 -38.4089 -68.6279 -65
 -40.2848 -68.6279 -65
 -42.0843 -68.6279 -65
 -43.7984 -68.6279 -65
 -45.4235 -68.6279 -65
 -45.8129 -68.6279 -65
 -45.8129 -68.6279 -65
 -45.8136 -68.6279 -65
 -46.0756 -68.6279 -65
 -46.3358 -68.6279 -65
 -46.594 -68.6279 -65
 -47.0578 -68.6279 -65
 -47.0578 -68.6279 -65
 -47.0593 -68.6279 -65
 -47.0608 -68.6279 -65
 -47.0633 -68.6279 -65
 -47.0659 -68.6279 -65
 -47.0721 -68.6279 -65
 -47.0784 -68.6279 -65
 -47.0847 -68.6279 -65
 -47.0909 -68.6279 -65
 -47.1003 -68.6279 -65
 -47.1098 -68.6279 -65
 -47.1192 -68.6279 -65
 -47.1401 -68.6279 -65
 -47.1609 -68.6279 -65
 -47.1817 -68.6279 -65
 -47.2258 -68.6279 -65
 -47.2699 -68.6279 -65
 -47.3138 -68.6279 -65
 -47.3578 -68.6279 -65
 -47.4016 -68.6279 -65
 -47.4992 -68.6279 -65
 -47.5965 -68.6279 -65
 -47.6934 -68.6279 -65
 -47.79 -68.6278 -65
 -47.8864 -68.6278 -65
 -48.0366 -68.6278 -65
 -48.186 -68.6278 -65
 -48.4633 -68.6278 -65
 -48.7378 -68.6278 -65
 -49.0096 -68.6278 -65
